"","ter_ic","title","sum","IC","result"
"1","TIC_1","Бабурин Сергей Николаевич",609,"УИК_1",8
"2","TIC_1","Грудинин Павел Николаевич",5832,"УИК_1",77
"3","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_1",40
"4","TIC_1","Путин Владимир Владимирович",45322,"УИК_1",688
"5","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_1",58
"6","TIC_1","Сурайкин Максим Александрович",401,"УИК_1",8
"7","TIC_1","Титов Борис Юрьевич",1166,"УИК_1",15
"8","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_1",46
"9","TIC_1","Бабурин Сергей Николаевич",609,"УИК_2",10
"10","TIC_1","Грудинин Павел Николаевич",5832,"УИК_2",86
"11","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_2",34
"12","TIC_1","Путин Владимир Владимирович",45322,"УИК_2",616
"13","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_2",48
"14","TIC_1","Сурайкин Максим Александрович",401,"УИК_2",8
"15","TIC_1","Титов Борис Юрьевич",1166,"УИК_2",22
"16","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_2",33
"17","TIC_1","Бабурин Сергей Николаевич",609,"УИК_3",12
"18","TIC_1","Грудинин Павел Николаевич",5832,"УИК_3",103
"19","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_3",52
"20","TIC_1","Путин Владимир Владимирович",45322,"УИК_3",869
"21","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_3",67
"22","TIC_1","Сурайкин Максим Александрович",401,"УИК_3",7
"23","TIC_1","Титов Борис Юрьевич",1166,"УИК_3",20
"24","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_3",56
"25","TIC_1","Бабурин Сергей Николаевич",609,"УИК_4",8
"26","TIC_1","Грудинин Павел Николаевич",5832,"УИК_4",69
"27","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_4",34
"28","TIC_1","Путин Владимир Владимирович",45322,"УИК_4",398
"29","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_4",32
"30","TIC_1","Сурайкин Максим Александрович",401,"УИК_4",0
"31","TIC_1","Титов Борис Юрьевич",1166,"УИК_4",9
"32","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_4",27
"33","TIC_1","Бабурин Сергей Николаевич",609,"УИК_5",7
"34","TIC_1","Грудинин Павел Николаевич",5832,"УИК_5",109
"35","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_5",58
"36","TIC_1","Путин Владимир Владимирович",45322,"УИК_5",733
"37","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_5",43
"38","TIC_1","Сурайкин Максим Александрович",401,"УИК_5",7
"39","TIC_1","Титов Борис Юрьевич",1166,"УИК_5",21
"40","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_5",49
"41","TIC_1","Бабурин Сергей Николаевич",609,"УИК_6",5
"42","TIC_1","Грудинин Павел Николаевич",5832,"УИК_6",88
"43","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_6",27
"44","TIC_1","Путин Владимир Владимирович",45322,"УИК_6",629
"45","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_6",49
"46","TIC_1","Сурайкин Максим Александрович",401,"УИК_6",4
"47","TIC_1","Титов Борис Юрьевич",1166,"УИК_6",21
"48","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_6",42
"49","TIC_1","Бабурин Сергей Николаевич",609,"УИК_7",22
"50","TIC_1","Грудинин Павел Николаевич",5832,"УИК_7",145
"51","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_7",75
"52","TIC_1","Путин Владимир Владимирович",45322,"УИК_7",938
"53","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_7",69
"54","TIC_1","Сурайкин Максим Александрович",401,"УИК_7",8
"55","TIC_1","Титов Борис Юрьевич",1166,"УИК_7",28
"56","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_7",44
"57","TIC_1","Бабурин Сергей Николаевич",609,"УИК_8",8
"58","TIC_1","Грудинин Павел Николаевич",5832,"УИК_8",78
"59","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_8",22
"60","TIC_1","Путин Владимир Владимирович",45322,"УИК_8",647
"61","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_8",79
"62","TIC_1","Сурайкин Максим Александрович",401,"УИК_8",9
"63","TIC_1","Титов Борис Юрьевич",1166,"УИК_8",22
"64","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_8",38
"65","TIC_1","Бабурин Сергей Николаевич",609,"УИК_9",14
"66","TIC_1","Грудинин Павел Николаевич",5832,"УИК_9",69
"67","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_9",27
"68","TIC_1","Путин Владимир Владимирович",45322,"УИК_9",624
"69","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_9",33
"70","TIC_1","Сурайкин Максим Александрович",401,"УИК_9",3
"71","TIC_1","Титов Борис Юрьевич",1166,"УИК_9",13
"72","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_9",46
"73","TIC_1","Бабурин Сергей Николаевич",609,"УИК_10",6
"74","TIC_1","Грудинин Павел Николаевич",5832,"УИК_10",69
"75","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_10",36
"76","TIC_1","Путин Владимир Владимирович",45322,"УИК_10",658
"77","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_10",57
"78","TIC_1","Сурайкин Максим Александрович",401,"УИК_10",7
"79","TIC_1","Титов Борис Юрьевич",1166,"УИК_10",23
"80","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_10",37
"81","TIC_1","Бабурин Сергей Николаевич",609,"УИК_11",13
"82","TIC_1","Грудинин Павел Николаевич",5832,"УИК_11",111
"83","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_11",50
"84","TIC_1","Путин Владимир Владимирович",45322,"УИК_11",731
"85","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_11",78
"86","TIC_1","Сурайкин Максим Александрович",401,"УИК_11",5
"87","TIC_1","Титов Борис Юрьевич",1166,"УИК_11",14
"88","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_11",70
"89","TIC_1","Бабурин Сергей Николаевич",609,"УИК_12",4
"90","TIC_1","Грудинин Павел Николаевич",5832,"УИК_12",44
"91","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_12",35
"92","TIC_1","Путин Владимир Владимирович",45322,"УИК_12",373
